Connectivity,Predictor,Beta,SE,tValue,rValue,R2,Pvalue,adjPvalue
IC7/IC50,340,-0.124614649,0.040111124,-3.106735422,-0.031823135,0.034336977,0.001897224,0.018155381
IC9/IC43,422,0.152026101,0.053976026,2.81654861,0.028853275,0.034162678,0.004864265,0.035094014
IC10/IC28,450,-0.150614349,0.046230981,-3.257866136,-0.033369525,0.034434488,0.00112647,0.01184943
IC10/IC31,453,0.163025879,0.049081873,3.32150894,0.034020655,0.034476931,0.000898694,0.009907202
IC11/IC31,495,0.134155887,0.048647707,2.757702166,0.028250927,0.034129407,0.005832027,0.037834218
IC12/IC14,519,-0.129503639,0.037728618,-3.432504204,-0.035156145,0.034552908,0.00060058,0.007455853
IC12/IC25,530,-0.161186246,0.039334327,-4.097851904,-0.041959695,0.035060387,4.20462419392926e-05,0.000804292
IC12/IC30,535,-0.1425024,0.042626563,-3.34304222,-0.034240952,0.034491476,0.00083185,0.009483732
IC12/IC33,538,-0.229481842,0.04830407,-4.750776568,-0.04863055,0.03564491,2.05602395980245e-06,9.4440033886926e-05
IC12/IC38,543,-0.143039698,0.048601499,-2.943112865,-0.030148671,0.034236605,0.003257146,0.025661629
IC12/IC40,545,-0.142027519,0.044176133,-3.215028334,-0.032931226,0.034406381,0.001308672,0.013540098
IC12/IC42,547,0.121418637,0.043706743,2.778029859,0.028459003,0.034140821,0.005479674,0.0368341
IC12/IC43,548,0.235001612,0.049083789,4.78776431,0.049008263,0.035680582,1.71192777840091e-06,8.42513028084447e-05
IC12/IC48,553,0.162756535,0.041713983,3.901726038,0.039954763,0.034901533,9.61671464813726e-05,0.001577599
IC12/IC50,555,-0.114401184,0.033090745,-3.457195796,-0.035408723,0.034570148,0.000548215,0.006930639
IC13/IC25,570,-0.192151119,0.043592557,-4.407888227,-0.045128054,0.035327276,1.0552809210721e-05,0.000309399
IC13/IC30,575,-0.133746907,0.046076935,-2.902686729,-0.029734922,0.03421264,0.003708262,0.028724388
IC13/IC35,580,0.133584192,0.050020967,2.670563987,0.02735893,0.034081428,0.007585269,0.044290257
IC13/IC43,588,0.152066695,0.041588521,3.656458343,0.037446794,0.03471377,0.000257103,0.003709398
IC13/IC50,595,-0.118682446,0.040982759,-2.895911531,-0.029665579,0.034208656,0.003789198,0.029008419
IC13/IC52,597,0.131949861,0.046170558,2.857878864,0.02927631,0.034186463,0.004274088,0.031495688
IC14/IC15,599,-0.142625968,0.043284009,-3.295119155,-0.033750666,0.034459233,0.000987398,0.010713654
IC14/IC21,605,-0.117967303,0.042230356,-2.793424292,-0.02861658,0.03414952,0.005225747,0.036389259
IC14/IC23,607,-0.113188786,0.042951591,-2.635264072,-0.026997561,0.034062429,0.008420815,0.048551814
IC14/IC24,608,-0.126399783,0.044058368,-2.868916617,-0.029389284,0.034192874,0.004127869,0.03091415
IC14/IC25,609,-0.120247723,0.04371521,-2.750706739,-0.02817932,0.034125499,0.005957928,0.037834218
IC14/IC26,610,0.188297751,0.045667232,4.123257388,0.042219371,0.035081531,3.76725638996752e-05,0.000752359
IC14/IC31,615,0.151916733,0.03792771,4.005428533,0.041014942,0.034984564,6.23761880094073e-05,0.001104651
IC14/IC35,619,0.226747816,0.054669034,4.147646283,0.042468648,0.03510195,3.38829661709386e-05,0.000696877
IC14/IC40,624,0.110497057,0.041337313,2.673058559,0.027384467,0.03408278,0.007529135,0.044149569
IC14/IC42,626,0.151701211,0.055031783,2.756610873,0.028239756,0.034128797,0.005851508,0.037834218
IC14/IC49,633,0.149166439,0.050656504,2.94466511,0.030164557,0.034237532,0.003240867,0.025661629
IC15/IC26,648,0.156003322,0.048369409,3.22524764,0.033035788,0.034413052,0.00126289,0.013183805
IC15/IC28,650,0.166572297,0.061707888,2.699367991,0.027653792,0.034097118,0.006959406,0.041179128
IC15/IC30,652,-0.290318879,0.045069387,-6.441598114,-0.06587309,0.03755458,1.23943392832925e-10,5.69313317745903e-08
IC15/IC32,654,0.134347951,0.040478647,3.318983209,0.033994815,0.034475231,0.000906852,0.0099178
IC15/IC33,655,-0.207567854,0.068552517,-3.027866272,-0.031016045,0.034287921,0.002469468,0.021136189
IC15/IC35,657,0.221297363,0.04682988,4.725559047,0.04837302,0.035620747,2.32773092620286e-06,0.000100238
IC15/IC41,663,0.174474547,0.040473553,4.310828554,0.044136313,0.035241648,1.6428170281528e-05,0.000443883
IC15/IC43,665,0.151752778,0.047258248,3.211138463,0.032891426,0.034403847,0.001326497,0.013540098
